epoch,train_loss,val_loss,lr,seconds
1,0.009697,0.007173,4.500000e-04,449.793
2,0.006694,0.006323,4.500000e-04,456.563
3,0.006174,0.006082,4.500000e-04,519.912
4,0.005867,0.007678,4.500000e-04,534.964
5,0.005625,0.007672,4.500000e-04,536.139
