epoch,train_loss,val_loss,lr,seconds
1,0.014387,0.012644,6.000000e-04,28.267
2,0.013233,0.012594,6.000000e-04,27.335
3,0.013085,0.01259,6.000000e-04,27.327
4,0.013008,0.012415,6.000000e-04,28.048
5,0.012927,0.012429,6.000000e-04,27.406
6,0.012869,0.012324,6.000000e-04,27.623
7,0.01283,0.012293,6.000000e-04,27.443
8,0.012784,0.012507,6.000000e-04,27.465
9,0.012775,0.012339,6.000000e-04,27.549
