instance,exp_edge_mlp_h128_d2,exp_edge_mlp_h128_d2_ccv1,exp_edge_mlp_h256_d2,exp_edge_mlp_h256_d2_ccv1,exp_edge_mlp_h256_d3,exp_edge_mlp_h256_d3_ccv1,exp_edge_res_h128_d4,exp_edge_res_h128_d4_ccv1,exp_edge_res_h256_d4,exp_edge_res_h256_d4_ccv1,exp_edge_tf_h128_d3_ccv1,exp_edge_tf_h128_d3_relv2_ms_ccv1,exp_edge_tf_h192_d4_relsc_ccv1,exp_edge_tf_h256_d4_ccv1,exp_edge_tf_h256_d4_relv2_ms_ccv1,exp_edge_tf_h256_d5_relsc_ccv1,exp_edge_tf_h256_d5_relv2_ms_ccv1,exp_edge_tf_h320_d3_relsc_ccv1,mean_gap_pct,best_gap_pct,worst_gap_pct,spread_pct
att48.npz,11.704930372600678,10.161836657884834,6.755739555890101,6.755739555890101,11.893112532931879,6.9345126082047415,6.078283778697779,6.078283778697779,10.359427926232593,12.82461422657132,4.488144523899135,9.776063229205871,8.138878434324425,15.939028980052692,7.762514113662025,5.193827625141137,8.054196462175387,11.432066240120436,8.907288922343495,4.488144523899135,15.939028980052692,11.450884456153556
berlin52.npz,8.273667462211614,7.3720498541500925,5.648369132856006,8.764253513656856,11.190665605940069,11.190665605940069,13.484486873508352,13.484486873508352,7.637231503579953,7.637231503579953,4.348979050649695,12.224874038716521,4.5478652877220895,6.417395916202599,11.893396976929196,9.851498276319278,12.105542296473084,12.105542296473084,9.343233448245382,4.348979050649695,13.484486873508352,9.135507822858656
eil51.npz,2.8169014084507045,3.9906103286384975,7.746478873239436,3.9906103286384975,2.3474178403755865,3.9906103286384975,4.929577464788732,4.225352112676056,3.755868544600939,3.9906103286384975,3.5211267605633805,3.9906103286384975,1.643192488262911,2.112676056338028,3.286384976525822,0.9389671361502347,0.7042253521126761,3.755868544600939,3.429838288993219,0.7042253521126761,7.746478873239436,7.04225352112676
eil76.npz,6.877323420074349,5.204460966542751,4.83271375464684,5.204460966542751,5.5762081784386615,5.762081784386617,4.4609665427509295,2.973977695167286,5.762081784386617,5.5762081784386615,4.83271375464684,5.5762081784386615,5.5762081784386615,2.2304832713754648,5.018587360594796,7.6208178438661704,6.133828996282528,2.7881040892193307,5.111524163568773,2.2304832713754648,7.6208178438661704,5.390334572490706
gr96.npz,5.276313644514481,3.2929413682551756,7.520512959843503,7.047763951529642,4.910431270263906,5.796156423771487,2.2713687985654514,3.097321088952888,1.8855621366081616,5.694723686355486,3.6823706279773223,4.423191870890616,3.209621619663461,3.8979151949863247,2.9723414660653154,5.2092955858646235,5.267257150102338,3.407053197848177,4.381230113447686,1.8855621366081616,7.520512959843503,5.634950823235342
kroA100.npz,16.229677661873882,16.624377408138333,16.29546095291796,17.949440842026128,19.561131472605958,12.202800488675877,19.547035053096515,26.130062964007145,24.866084014660274,17.85546471196316,11.136171412461234,11.136171412461234,15.336904426275726,16.671365473169814,20.843905647965418,12.949910722676442,21.107038812141717,13.52316511606052,17.22034269962096,11.136171412461234,26.130062964007145,14.99389155154591
kroC100.npz,7.20516651404887,7.20516651404887,7.20516651404887,8.453419441900815,8.159429370090125,8.159429370090125,8.034122126367537,5.8701624174659015,8.68475589185021,8.71849245746783,14.077786881295484,10.270374475878356,11.45115427249506,17.56229215865825,12.178900187960865,15.00795219046701,12.000578341124873,9.865535688466915,10.006104711873666,5.8701624174659015,17.56229215865825,11.692129741192346
kroD100.npz,11.928242697473467,9.439278670047901,11.608903916596224,8.772424157039541,13.539025077486617,11.223818916126609,12.712501174039637,14.069690992767917,14.633230017845403,12.444820137127829,11.608903916596224,8.547008547008547,11.101718794026487,6.767164459472151,17.075232459847843,11.190945806330422,16.309758617450925,11.763877148492533,11.929808083654237,6.767164459472151,17.075232459847843,10.308068000375691
lin105.npz,19.347659781625982,19.876208359413035,22.553724181097433,22.553724181097433,17.219556297378123,17.219556297378123,19.834480840114054,23.70123096181932,18.068015856457333,19.834480840114054,13.387579108422004,13.387579108422004,16.301550872800615,19.465887752973085,18.97211210793518,17.852423673412616,17.692468182766536,17.73419570206551,18.611246339182916,13.387579108422004,23.70123096181932,10.313651853397316
pr76.npz,2.7533538586710304,8.947937758300279,5.5048585878197835,5.5048585878197835,9.242873917103523,2.8421120757403453,4.4268160763320665,10.421693987555358,3.555876071339417,4.019083016669903,9.582189184441424,9.101415508649303,13.47090856979077,8.944239499255726,6.176092604406476,9.319612792278036,6.311079059532725,8.808328479368337,7.162962757504126,2.7533538586710304,13.47090856979077,10.71755471111974
rd100.npz,2.3135271807838182,2.8065739570164348,6.144121365360303,2.1871049304677626,3.5271807838179523,2.1618204804045513,5.15802781289507,2.8065739570164348,3.211125158027813,5.689001264222504,6.738305941845765,9.190897597977244,9.506953223767384,1.6308470290771178,3.5271807838179523,4.348925410872313,2.945638432364096,3.324905183312263,4.289928360724821,1.6308470290771178,9.506953223767384,7.876106194690267
st70.npz,3.4074074074074074,3.4074074074074074,4.7407407407407405,3.111111111111111,2.2222222222222223,4.592592592592593,4.7407407407407405,2.666666666666667,1.925925925925926,2.074074074074074,6.222222222222222,3.851851851851852,2.9629629629629632,3.851851851851852,1.1851851851851851,4.148148148148148,6.814814814814815,4.444444444444445,3.68724279835391,1.1851851851851851,6.814814814814815,5.62962962962963
ulysses16.npz,13.777518588715557,13.777518588715557,13.777518588715557,13.777518588715557,17.874325703455316,17.874325703455316,5.758856976235603,13.777518588715557,5.758856976235603,9.97229916897507,7.537541915731157,13.777518588715557,12.042571803469894,12.042571803469894,12.042571803469894,17.874325703455316,5.758856976235603,13.777518588715557,12.276651925288753,5.758856976235603,17.874325703455316,12.115468727219714
ulysses22.npz,20.98959076001711,15.61385997433338,20.98959076001711,20.98959076001711,9.853129901611293,9.853129901611293,14.145158990446314,20.98959076001711,20.98959076001711,20.98959076001711,5.119064594324825,1.753885640952517,12.804791102238699,5.589619278482818,20.98959076001711,12.804791102238699,4.819620704406103,12.804791102238699,14.004943200722467,1.753885640952517,20.98959076001711,19.23570511906459
