instance,exp_edge_mlp_h128_d2,exp_edge_mlp_h128_d2_ccv1,exp_edge_mlp_h256_d2,exp_edge_mlp_h256_d2_ccv1,exp_edge_mlp_h256_d3,exp_edge_mlp_h256_d3_ccv1,exp_edge_res_h128_d4,exp_edge_res_h128_d4_ccv1,exp_edge_res_h256_d4,exp_edge_res_h256_d4_ccv1,exp_edge_tf_h128_d3_ccv1,exp_edge_tf_h128_d3_relv2_ms_ccv1,exp_edge_tf_h192_d4_relsc_ccv1,exp_edge_tf_h256_d4_ccv1,exp_edge_tf_h256_d4_relv2_ms_ccv1,exp_edge_tf_h256_d5_relsc_ccv1,exp_edge_tf_h256_d5_relv2_ms_ccv1,exp_edge_tf_h320_d3_relsc_ccv1,mean_gap_pct,best_gap_pct,worst_gap_pct,spread_pct
att48.npz,12.1942039894618,10.161836657884834,8.562288295069626,7.875423409860745,18.75235227700414,9.738426797139631,15.327436958976289,7.884832517877305,10.359427926232593,12.82461422657132,13.812570568310123,9.03274369589763,18.23485133609334,15.939028980052692,11.432066240120436,8.167105758374106,14.038389160707565,14.555890101618365,12.160749383180695,7.875423409860745,18.75235227700414,10.876928867143395
berlin52.npz,8.220631132325643,7.3720498541500925,12.317687616016972,8.764253513656856,3.4208432776451874,11.190665605940069,13.484486873508352,13.484486873508352,7.637231503579953,9.122248740387166,4.348979050649695,12.224874038716521,4.5478652877220895,6.523468575974542,13.0204189870061,9.851498276319278,12.105542296473084,12.821532749933704,9.469931347417425,3.4208432776451874,13.484486873508352,10.063643595863166
eil51.npz,4.929577464788732,4.929577464788732,7.746478873239436,3.9906103286384975,2.3474178403755865,4.694835680751173,4.929577464788732,4.225352112676056,3.755868544600939,3.9906103286384975,3.5211267605633805,6.103286384976526,1.643192488262911,2.8169014084507045,3.286384976525822,0.9389671361502347,0.7042253521126761,4.694835680751173,3.8471570161711006,0.7042253521126761,7.746478873239436,7.04225352112676
eil76.npz,6.877323420074349,9.851301115241636,5.204460966542751,9.66542750929368,8.550185873605948,5.947955390334572,4.4609665427509295,10.037174721189592,14.12639405204461,12.0817843866171,5.5762081784386615,7.992565055762081,5.5762081784386615,3.3457249070631967,5.018587360594796,13.568773234200743,6.5055762081784385,7.992565055762081,7.909954564229657,3.3457249070631967,14.12639405204461,10.780669144981413
gr96.npz,7.663605571555363,9.465847959571809,11.056168378344111,10.80077523592168,7.275987610715644,7.748736619029506,9.652411744461954,6.989802387291927,11.85495118549512,9.393396004274665,9.520186926044667,4.423191870890616,3.209621619663461,8.040355739100509,4.002970530167183,5.2092955858646235,5.234653770218624,7.929866507272365,7.748434735882433,3.209621619663461,11.85495118549512,8.64532956583166
kroA100.npz,22.516680763086175,25.38295273000658,22.789211540268774,25.66957992669862,27.069824264636782,18.58377971995113,19.547035053096515,25.552109764119912,26.393196128183444,23.282586223099333,14.453528803683865,14.453528803683865,21.736678883563577,23.63499671083545,31.261159665444975,13.790997086739967,26.750305422422706,13.52316511606052,22.02173981142123,13.52316511606052,31.261159665444975,17.737994549384453
kroC100.npz,8.906453323051714,14.38623548122801,8.42450238565714,14.09224540941732,10.304111041495975,10.304111041495975,10.280013494626248,11.962022266133307,17.759892042990025,14.203094125018072,14.077786881295484,15.99113210275194,16.381512362041544,18.617764711552365,14.371776953106174,21.711889729625526,12.188539206708757,17.094799749385512,13.94766012819895,8.42450238565714,21.711889729625526,13.287387343968385
kroD100.npz,11.928242697473467,11.834319526627219,15.135718981872829,11.71691556306941,15.985723678031372,13.679909833755987,13.30891330891331,15.797877336338875,19.399830938292475,28.219216680755142,16.178266178266178,14.76941861557246,25.16671362825209,16.96722081337466,17.86418709495633,18.77524185216493,19.226073072226917,21.536583075044614,17.082798493054906,11.71691556306941,28.219216680755142,16.502301117685732
lin105.npz,19.876208359413035,20.912441755337646,24.869601502190694,23.124000278183463,18.262744279852562,17.219556297378123,37.415675638083314,30.447179915154045,18.102788789206482,18.33229014535086,15.105361986229918,15.105361986229918,16.301550872800615,19.465887752973085,23.666458029070174,17.852423673412616,17.8246053272133,18.902566242436887,20.710372379473153,15.105361986229918,37.415675638083314,22.3103136518534
pr76.npz,13.922096173226453,12.452038203015931,13.922096173226453,11.042076942279422,11.643044037019573,11.835353507336421,8.425558668256917,11.069813885113582,10.17206150204791,15.8729278192291,9.937222052718683,11.685574016031953,12.56575966863599,8.944239499255726,9.560924194935234,13.974796364611358,6.311079059532725,8.808328479368337,11.230277235880099,6.311079059532725,15.8729278192291,9.561848759696375
rd100.npz,2.629582806573957,3.8685208596713023,6.144121365360303,2.199747155499368,9.178255372945639,15.891276864728193,6.359039190897597,7.281921618204803,14.323640960809103,8.192161820480406,7.471554993678888,10.2275600505689,11.871049304677623,9.355246523388116,3.969658659924147,4.551201011378002,9.405815423514538,3.324905183312263,7.569181064756287,2.199747155499368,15.891276864728193,13.691529709228824
st70.npz,8.0,12.74074074074074,12.74074074074074,8.88888888888889,8.74074074074074,4.592592592592593,10.222222222222223,9.777777777777779,9.185185185185185,4.0,6.222222222222222,4.296296296296296,7.703703703703704,8.592592592592592,1.1851851851851851,4.444444444444445,14.814814814814813,10.222222222222223,8.131687242798355,1.1851851851851851,14.814814814814813,13.629629629629628
ulysses16.npz,13.777518588715557,13.777518588715557,13.777518588715557,13.777518588715557,17.874325703455316,17.874325703455316,5.758856976235603,9.97229916897507,9.97229916897507,9.97229916897507,7.537541915731157,13.777518588715557,12.042571803469894,12.042571803469894,12.042571803469894,17.874325703455316,5.758856976235603,13.777518588715557,12.299330968233141,5.758856976235603,17.874325703455316,12.115468727219714
ulysses22.npz,20.98959076001711,15.61385997433338,20.98959076001711,20.98959076001711,9.853129901611293,9.853129901611293,14.145158990446314,20.98959076001711,14.145158990446314,20.98959076001711,5.119064594324825,1.753885640952517,12.804791102238699,5.589619278482818,20.98959076001711,12.804791102238699,4.819620704406103,12.804791102238699,13.624696991301867,1.753885640952517,20.98959076001711,19.23570511906459
