base_exp,ccv1_exp,model,base_train_group,ccv1_train_group,base_gap_pct,ccv1_gap_pct,delta_gap_pct
exp_edge_mlp_h256_d2,exp_edge_mlp_h256_d2_ccv1,edge_mlp,synthetic_heuristic,synthetic_concorde_exact,13.120013297661606,12.328360965010045,-0.7916523326515605
exp_edge_mlp_h256_d3,exp_edge_mlp_h256_d3_ccv1,edge_mlp_deep,synthetic_heuristic,synthetic_concorde_exact,12.089906135652553,11.368189682535712,-0.7217164531168407
exp_edge_res_h256_d4,exp_edge_res_h256_d4_ccv1,edge_res_mlp,synthetic_heuristic,synthetic_concorde_exact,13.370566208434946,13.605487173529559,0.2349209650946129
exp_edge_mlp_h128_d2,exp_edge_mlp_h128_d2_ccv1,edge_mlp,synthetic_heuristic,synthetic_concorde_exact,11.602265360697384,12.33923149366525,0.7369661329678667
exp_edge_res_h128_d4,exp_edge_res_h128_d4_ccv1,edge_res_mlp,synthetic_heuristic,synthetic_concorde_exact,12.379810937661734,13.248017221741263,0.8682062840795286
